,XNM,XQM,XHH,CNT
0,2003,12,04,6
1,2003,12,09,8
2,2003,12,16,9
3,2003,3,04,8
4,2003,3,07,8
5,2003,3,09,8
6,2003,3,16,8
7,2004,12,04,10
8,2004,12,09,54
9,2004,12,15,17
10,2004,12,16,5
11,2004,12,17,8
12,2004,12,18,15
13,2004,12,Y0,5
14,2004,3,04,16
15,2004,3,09,43
16,2004,3,15,24
17,2004,3,16,19
18,2004,3,17,8
19,2004,3,18,11
20,2005,12,01,2402
21,2005,12,02,3344
22,2005,12,03,3289
23,2005,12,04,1483
24,2005,12,05,2687
25,2005,12,06,4276
26,2005,12,07,3907
27,2005,12,08,1218
28,2005,12,09,3125
29,2005,12,15,2827
30,2005,12,16,2770
31,2005,12,17,1714
32,2005,12,18,2849
33,2005,3,01,1620
34,2005,3,02,2120
35,2005,3,03,1694
36,2005,3,04,1443
37,2005,3,05,2111
38,2005,3,06,3229
39,2005,3,07,2427
40,2005,3,08,968
41,2005,3,09,2050
42,2005,3,15,2318
43,2005,3,16,2000
44,2005,3,17,1046
45,2005,3,18,2166
46,2006,12,01,7567
47,2006,12,02,6611
48,2006,12,03,7790
49,2006,12,04,5573
50,2006,12,05,7135
51,2006,12,06,8217
52,2006,12,07,9055
53,2006,12,08,3759
54,2006,12,09,7065
55,2006,12,11,1488
56,2006,12,13,290
57,2006,12,14,425
58,2006,12,15,7781
59,2006,12,16,7812
60,2006,12,17,5111
61,2006,12,18,5059
62,2006,3,01,7347
63,2006,3,02,8554
64,2006,3,03,8297
65,2006,3,04,6162
66,2006,3,05,9118
67,2006,3,06,9643
68,2006,3,07,10135
69,2006,3,08,3538
70,2006,3,09,7618
71,2006,3,11,1553
72,2006,3,13,466
73,2006,3,14,1084
74,2006,3,15,8780
75,2006,3,16,8075
76,2006,3,17,4783
77,2006,3,18,5362
78,2007,12,01,7418
79,2007,12,02,8040
80,2007,12,03,8916
81,2007,12,04,5879
82,2007,12,05,7303
83,2007,12,06,8482
84,2007,12,07,9418
85,2007,12,08,4702
86,2007,12,09,7713
87,2007,12,11,513
88,2007,12,13,188
